cp6 analysis: cism
Files scanned: 226

===========================================================================
FILE PATH                                                         | COUNT
---------------------------------------------------------------------------
...mponents/cism/source_cism/libglissade/glissade_velo_higher.F90 | 240
...omponents/cism/source_cism/libglissade/glissade_bmlt_float.F90 | 165
...ase/components/cism/source_cism/libglimmer-solve/SLAP/xersla.f | 93
...se/components/cism/source_cism/utils/isostasy/relaxed_topo.F90 | 90
...ase/components/cism/source_cism/libglissade/glissade_remap.F90 | 79
...release/components/cism/source_cism/libglint/glint_upscale.F90 | 78
...m_release/components/cism/source_cism/libglide/glide_types.F90 | 69
.../source_cism/tests/unsupported/exact-isothermal/src/verifD.F90 | 58
...ase/components/cism/source_cism/libglide/glide_diagnostics.F90 | 52
...sm_release/components/cism/source_cism/cism_driver/testsfg.F90 | 47
...npm/cesm_release/components/cism/source_glc/POP_files/grid.F90 | 44
...e/components/cism/source_cism/libglimmer-solve/SLAP/dlaputil.f | 38
...e/components/cism/source_cism/libglissade/glissade_calving.F90 | 36
...lease/components/cism/source_glc/POP_files/time_management.F90 | 34
...se/components/cism/source_cism/libglimmer/glimmer_map_init.F90 | 33
...ase/components/cism/source_cism/libglimmer-solve/SLAP/dgmres.f | 32
...ase/components/cism/source_cism/libglimmer-solve/SLAP/dlapqc.f | 31
...lease/components/cism/source_cism/libglimmer-solve/SLAP/dcgs.f | 29
...lease/components/cism/source_cism/libglimmer-solve/SLAP/mach.f | 29
.../components/cism/source_cism/libglide/glide_grid_operators.F90 | 28
...e/components/cism/source_cism/libglint/glint_global_interp.F90 | 26
...ease/components/cism/source_cism/libglissade/glissade_test.F90 | 26
...esm_release/components/cism/source_glc/glc_time_management.F90 | 26
...sm_release/components/cism/source_cism/libglide/glide_temp.F90 | 25
...components/cism/source_cism/libglissade/glissade_inversion.F90 | 25
...m_release/components/cism/source_cism/libglissade/glissade.F90 | 23
...elease/components/cism/source_cism/libglimmer-solve/SLAP/dcg.f | 22
...elease/components/cism/source_cism/libglimmer-solve/SLAP/dir.f | 22
...ase/components/cism/source_cism/libglissade/glissade_therm.F90 | 22
...ase/components/cism/source_cism/libglimmer/glimmer_physcon.F90 | 21
...lease/components/cism/source_cism/libglimmer-solve/SLAP/dbcg.f | 20
...lease/components/cism/source_cism/libglimmer-solve/SLAP/domn.f | 20
...nents/cism/source_cism/libglissade/glissade_grid_operators.F90 | 20
...lease/components/cism/source_cism/libglimmer-solve/SLAP/dcgn.f | 19
.../components/cism/source_cism/cism_driver/gcm_to_cism_glint.F90 | 18
...ase/components/cism/source_cism/libglint/glint_global_grid.F90 | 17
..._release/components/cism/source_cism/libglide/glide_bwater.F90 | 15
...nents/cism/source_cism/libglissade/glissade_grounding_line.F90 | 15
...components/cism/source_cism/libglissade/glissade_transport.F90 | 15
...sm_release/components/cism/source_cism/libglide/glide_mask.F90 | 14
...sm_release/components/cism/source_cism/libglide/glide_velo.F90 | 14
...se/components/cism/source_cism/libglint/glint_precip_param.F90 | 13
...nts/cism/source_cism/libglissade/glissade_velo_higher_slap.F90 | 13
...release/components/cism/source_cism/libglide/glide_vertint.F90 | 12
...e/components/cism/source_cism/libglimmer/glimmer_map_trans.F90 | 12
.../components/cism/source_cism/libglissade/glissade_velo_sia.F90 | 11
...se/components/cism/source_cism/cism_driver/eismint_forcing.F90 | 10
...pm/cesm_release/components/cism/source_cism/libglide/glide.F90 | 10
...elease/components/cism/source_cism/libglimmer/parallel_mpi.F90 | 10
...lease/components/cism/source_cism/libglint/glint_daily_pdd.F90 | 10
...source_cism/tests/unsupported/exact-isothermal/src/verifBC.F90 | 10
...se/components/cism/source_cism/libglimmer/glimmer_paramets.F90 | 9
...sm_release/components/cism/source_cism/libglint/glint_main.F90 | 9
...sm_release/components/cism/source_cism/libglide/glide_thck.F90 | 8
...omponents/cism/source_cism/libglide/felix_dycore_interface.F90 | 6
...m_release/components/cism/source_cism/libglide/glide_setup.F90 | 6
...lease/components/cism/source_cism/libglimmer/parallel_slap.F90 | 6
...esm_release/components/cism/source_cism/libglint/glint_pdd.F90 | 6
...nents/cism/source_cism/libglissade/glissade_basal_traction.F90 | 6
...release/components/cism/source_cism/utils/libgptl/perf_mod.F90 | 6
...ork/brianpm/cesm_release/components/cism/source_glc/glc_io.F90 | 6
...lease/components/cism/source_glc/POP_files/forcing_coupled.F90 | 6
...ork/brianpm/cesm_release/components/cism/serial/glc_timers.F90 | 5
...lease/components/cism/source_cism/libglide/isostasy_kelvin.F90 | 5
...se/components/cism/source_cism/libglint/glint_example_clim.F90 | 5
...release/components/cism/source_cism/libglad/glad_constants.F90 | 4
..._release/components/cism/source_cism/libglide/glide_ground.F90 | 4
.../components/cism/source_cism/libglimmer/glimmer_map_CFproj.F90 | 4
...e/components/cism/source_cism/libglimmer/glimmer_map_types.F90 | 4
...ease/components/cism/source_cism/libglimmer-solve/blas/daxpy.f | 4
...ease/components/cism/source_cism/libglimmer-solve/blas/dcopy.f | 4
...lease/components/cism/source_cism/libglimmer-solve/blas/ddot.f | 4
...ease/components/cism/source_cism/libglimmer-solve/blas/dnrm2.f | 4
...ase/components/cism/source_cism/libglimmer-solve/blas/drotmg.f | 4
...ease/components/cism/source_cism/libglimmer-solve/blas/dswap.f | 4
...ase/components/cism/source_cism/libglimmer-solve/blas/icamax.f | 4
...ase/components/cism/source_cism/libglimmer-solve/blas/idamax.f | 4
...ase/components/cism/source_cism/libglimmer-solve/blas/isamax.f | 4
...ease/components/cism/source_cism/libglimmer-solve/blas/saxpy.f | 4
